dax     ; dax_names         ; watchlist ; wl_names ; planspiel_alle ; ps_alle_names                           ; medical                 ; med_names
^GDAXI  ; DAX               ; ^GDAXI  ; DAX               ; ^GDAXI         ; DAX                                     ; ^GDAXI                  ; DAX
ADS.DE  ; Adidas            ; ADS.DE  ; Adidas            ; Abertis        ; TKMR                                    ; Tekmira "Ebola" Medicin
ALV.DE  ; Allianz           ; ALV.DE  ; Allianz           ; ACS.MC         ; ACS                                     ; CMRX                    ; Chimerix "Ebola" Medicin
BAS.DE  ; BASF              ; BAS.DE  ; BASF              ; ADS.DE         ; adidas [+]                              ; LAKE                    ; Lakeland "Ebola"
BAYN.DE ; Bayer             ; BAYN.DE ; Bayer             ; AB2.DE         ; Air Berlin                              ; AHPI                    ; Allied Healthcare
BEI.DE  ; Beiersdorf        ; BEI.DE  ; Beiersdorf        ; AIL.F          ; Air Liquide [+]                         ; SRPT                    ; Sarepta Therapeutics
BMW.DE  ; BMW               ; BMW.DE  ; BMW               ; AIR.DE         ; Airbus Group                            ; NA                      ; NA
CBK.DE  ; Commerzbank       ; CBK.DE  ; Commerzbank       ; ALU.DE         ; Alcoa                                   ; NA                      ; NA
CON.DE  ; Continental       ; CON.DE  ; Continental       ; ALV.DE         ; Allianz SE                              ; NA                      ; NA
DAI.DE  ; Daimler           ; DAI.DE  ; Daimler           ; AI3A.F         ; Amadeus IT Holding                      ; NA                      ; NA
DB1.DE  ; Deutsch Boerse    ; DB1.DE  ; Deutsch Boerse    ; AMZ.DE         ; Amazon                                  ; NA                      ; NA
DBK.DE  ; Deutsche Bank     ; DBK.DE  ; Deutsche Bank     ; AMD.DE         ; AMD Advanced Micro Devices              ; NA                      ; NA
DPW.DE  ; Deutsche Post AG  ; DPW.DE  ; Deutsche Post AG  ; AZ2.DE         ; Andritz                                 ; NA                      ; NA
DTE.DE  ; Deutsche Telekom  ; DTE.DE  ; Deutsche Telekom  ; APC.DE         ; Apple Inc.                              ; NA                      ; NA
EOAN.DE ; E.ON SE           ; EOAN.DE ; E.ON SE           ; ARCC.DE        ; Arcelor Mittal                          ; NA                      ; NA
FME.DE  ; Fresenius Medical ; FME.DE  ; Fresenius Medical ; SOBA.DE        ; AT&T                                    ; NA                      ; NA
FRE.DE  ; Fresenius SE      ; FRE.DE  ; Fresenius SE      ; AU9.F          ; Atlantia                                ; NA                      ; NA
HEI.DE  ; Heidelberg Cement ; HEI.DE  ; Heidelberg Cement ; NDA.DE         ; Aurubis                                 ; NA                      ; NA
HEN3.DE ; Henkel AG         ; HEN3.DE ; Henkel AG         ; AUL.F          ; Autogrill Spa                           ; NA                      ; NA
IFX.DE  ; Infineon          ; IFX.DE  ; Infineon          ; AXA.DE         ; AXA [+]                                 ; NA                      ; NA
LHA.DE  ; Lufthansa         ; LHA.DE  ; Lufthansa         ; BBVA.DE        ; Banco Bilbao Viz. Arg. (BBVA) [+]       ; NA                      ; NA
LIN.DE  ; Linde             ; LIN.DE  ; Linde             ; BSDK.DE        ; Banco Santander Centr. Hisp. (BSCH)     ; NA                      ; NA
LXS.DE  ; Lanxess AG        ; LXS.DE  ; Lanxess AG        ; BAS.DE         ; BASF                                    ; NA                      ; NA
MRK.DE  ; Merck             ; MRK.DE  ; Merck             ; BAYN.DE        ; Bayer                                   ; NA                      ; NA
MUV2.DE ; Muechner Re       ; MUV2.DE ; Muechner Re       ; BMW.DE         ; Bayer. Motoren Werke (BMW) St. [+]      ; NA                      ; NA
RWE.DE  ; Rewe              ; RWE.DE  ; Rewe              ; BEI.DE         ; Beiersdorf                              ; NA                      ; NA
SAP.DE  ; SAP               ; SAP.DE  ; SAP               ; BHP.DE         ; BHP Billiton                            ; NA                      ; NA
SDF.DE  ; K+S AG            ; SDF.DE  ; K+S AG            ; GBF.DE         ; Bilfinger Berger                        ; NA                      ; NA
SIE.DE  ; Siemens AG        ; SIE.DE  ; Siemens AG        ; BNPH.DE        ; BNP Paribas [+]                         ; NA                      ; NA
TKA.DE  ; Thyssenkrupp      ; TKA.DE  ; Thyssenkrupp      ; BYG.DE         ; Bouygues                                ; NA                      ; NA
VOW3.DE ; Volkswagen        ; VOW3.DE ; Volkswagen        ; UCM.F          ; Buzzi Unicem                            ; NA                      ; NA
VOW.DE  ; Volkswagen        ; VOW.DE  ; Volkswagen        ; 3425733.F      ; Caixabank                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CAR.DE         ; Carrefour                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CLS1.DE        ; Celesio                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CIS.DE         ; Cisco Systems [+]                       ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CCC3.DE        ; Coca-Cola                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CPA.DE         ; Colgate-Palmolive Co. [+]               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CBK.DE         ; Commerzbank                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; CON.DE         ; Continental                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; DAI.DE         ; Daimler AG                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; BSN.DE         ; Danone [+]                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; DLN.F          ; De'Longhi                               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; DBK.DE         ; Deutsche Bank                           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; DB1.DE         ; Deutsche Börse                          ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; DPW.DE         ; Deutsche Post                           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; DTE.DE         ; Deutsche Telekom                        ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; DWNI.De        ; Deutsche Wohnen                         ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; EOAA.DE        ; E.ON                                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; E2F.F          ; EDF                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; EG4.F          ; Enagás                                  ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; ENLA.De        ; ENEL                                    ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; ENI1.De        ; ENI                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; EBO.DE         ; Erste Bank                              ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; ESL.F          ; Essilor [+]                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; XONA.De        ; Exxon Mobil                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FB2A.De        ; Facebook Inc.                           ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FCC.DE         ; FCC                                     ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FIAT.De        ; Fiat Chrysler Automobiles               ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FIE.DE         ; Fielmann                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FRA.DE         ; Fraport                                 ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; FRE.DE         ; Fresenius Medical Care                  ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GFJ.DE         ; Gagfah S.A.                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GAN.DE         ; Gas Natural                             ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GZF.DE         ; GDF Suez                                ; NA                      ; NA
NA      ; NA                ; NA        ; NA       ; GEC.DE         ; General Electric                        ; NA                      ; NA
