"FME.DE.Open";"FME.DE.High";"FME.DE.Low";"FME.DE.Close";"FME.DE.Volume";"FME.DE.Adjusted"
33.66;33.66;33.66;33.66;0;30.86
33.77;33.93;33.55;33.67;1103100;30.87
33.8;34.66;33.59;34.65;1657500;31.77
34.5;34.6;34.2;34.48;1228200;31.62
34.33;34.61;33.9;33.94;937100;31.12
34.11;34.45;33.97;34.38;1018700;31.53
34.38;34.73;34.25;34.35;1393800;31.5
34.21;34.28;33.81;33.91;1001000;31.09
34.08;34.56;33.8;34.48;1047600;31.61
34.6;34.9;34.24;34.85;859500;31.96
34.9;35.23;34.9;35.08;613500;32.17
35.16;35.16;34.71;34.8;883800;31.91
34.85;34.96;34.34;34.55;1045200;31.68
34.49;34.68;33.95;34.09;1257700;31.26
33.93;34.43;33.59;34.31;1433200;31.46
34.5;34.5;33.58;33.67;1212800;30.87
33.67;34;33.27;33.88;1745700;31.06
34;34.67;34;34.37;1451400;31.51
34.23;34.46;34;34.02;1356000;31.19
33.93;34.37;33.75;34.14;1532100;31.3
34.29;34.55;33.93;34.46;1567700;31.6
34.33;34.5;33.98;34.11;2021200;31.28
34;34.33;33.9;34.17;1339600;31.33
34.25;34.97;34.17;34.81;2388500;31.92
34.83;34.96;34.53;34.82;1335400;31.93
34.69;34.7;34.35;34.55;1339600;31.68
34.83;37.02;34.83;36.69;6656900;33.65
36.63;36.78;36.24;36.45;2054700;33.42
36.33;36.52;36.04;36.19;966300;33.19
36.3;36.55;36.22;36.43;1106400;33.4
36.34;36.73;36.19;36.28;1084000;33.27
36.33;36.42;35.98;36.36;1531400;33.34
36.35;36.67;35.99;36.17;1369800;33.17
36.04;36.36;36;36.34;1276100;33.32
36.67;36.68;36.03;36.05;1708400;33.06
36.21;37.09;36.08;36.95;1836600;33.88
37.01;37.37;36.79;37.2;1500200;34.11
37.96;38.22;37.34;37.67;3089600;34.54
38.33;38.33;36.71;36.94;3248900;33.87
37.47;37.96;37.12;37.71;2015700;34.58
37.54;37.73;37.04;37.55;1283300;34.43
37.37;37.47;36.05;36.11;3360400;33.11
35.96;36.63;35.11;35.67;3627500;32.71
35.67;36.06;34.56;35.4;2527500;32.46
35.55;35.75;34.6;35.42;2102800;32.48
34.82;35.41;34.53;35.22;1958000;32.3
35.28;35.67;35.03;35.4;1673000;32.46
35.56;35.73;35;35.27;1653100;32.34
35.27;36.06;35.08;35.76;1876100;32.79
35.93;36.26;35.63;35.86;1663100;32.89
36.05;36.5;35.77;35.93;1450100;32.95
35.93;36.28;35.18;35.2;1332600;32.28
34.83;34.97;34.17;34.33;2405400;31.48
34.66;35.1;34.57;34.84;1844200;31.95
34.92;35.06;34.6;34.85;2986400;31.96
35.19;35.82;35;35.51;1408200;32.56
35.63;36.53;35.4;36.3;2114400;33.29
36.22;36.67;35.86;36.23;1685500;33.23
36.67;37.04;36.41;36.41;2008700;33.39
36.54;36.74;36.14;36.39;1251600;33.37
36.42;36.58;36.17;36.48;1048600;33.45
36.48;36.63;35.85;36.01;1476200;33.02
35.98;36.17;35.67;35.98;905300;33
36.08;36.36;35.83;36.27;1373800;33.26
36.2;36.74;36.09;36.31;1638200;33.29
36.43;36.49;35.95;36.45;1379900;33.42
36.46;37.23;36.21;37.19;1909500;34.11
