dax;dax_names;watchlist;wl_names;planspiel_alle;ps_alle_names;medical;med_names
^GDAXI;DAX;^GDAXI;DAX;^GDAXI;DAX;^GDAXI;DAX
ADS.DE;Adidas;DAI.DE;Adidas;Abertis;TKMR;Tekmira"Ebola"Medicin
ALV.DE;Allianz;BMW.DE;Allianz;ACS.MC;ACS;CMRX;Chimerix"Ebola"Medicin
BAS.DE;BASF;VOW3.DE;BASF;ADS.DE;adidas[+];LAKE;Lakeland"Ebola"
BAYN.DE;Bayer;TSLA;Bayer;AB2.DE;AirBerlin;AHPI;AlliedHealthcare
BEI.DE;Beiersdorf;;Beiersdorf;AIL.F;AirLiquide[+];SRPT;SareptaTherapeutics
BMW.DE;BMW;;BMW;AIR.DE;AirbusGroup;NA;NA
CBK.DE;Commerzbank;;Commerzbank;ALU.DE;Alcoa;NA;NA
CON.DE;Continental;;Continental;ALV.DE;AllianzSE;NA;NA
DAI.DE;Daimler;;Daimler;AI3A.F;AmadeusITHolding;NA;NA
DB1.DE;DeutschBoerse;;DeutschBoerse;AMZ.DE;Amazon;NA;NA
DBK.DE;DeutscheBank;;DeutscheBank;AMD.DE;AMDAdvancedMicroDevices;NA;NA
DPW.DE;DeutschePostAG;;DeutschePostAG;AZ2.DE;Andritz;NA;NA
DTE.DE;DeutscheTelekom;;DeutscheTelekom;APC.DE;AppleInc.;NA;NA
EOAN.DE;E.ONSE;;E.ONSE;ARCC.DE;ArcelorMittal;NA;NA
FME.DE;FreseniusMedical;;FreseniusMedical;SOBA.DE;AT&T;NA;NA
FRE.DE;FreseniusSE;;FreseniusSE;AU9.F;Atlantia;NA;NA
HEI.DE;HeidelbergCement;;HeidelbergCement;NDA.DE;Aurubis;NA;NA
HEN3.DE;HenkelAG;;HenkelAG;AUL.F;AutogrillSpa;NA;NA
IFX.DE;Infineon;;Infineon;AXA.DE;AXA[+];NA;NA
LHA.DE;Lufthansa;;Lufthansa;BBVA.DE;BancoBilbaoViz.Arg.(BBVA)[+];NA;NA
LIN.DE;Linde;;Linde;BSDK.DE;BancoSantanderCentr.Hisp.(BSCH);NA;NA
LXS.DE;LanxessAG;;LanxessAG;BAS.DE;BASF;NA;NA
MRK.DE;Merck;;Merck;BAYN.DE;Bayer;NA;NA
MUV2.DE;MuechnerRe;;MuechnerRe;BMW.DE;Bayer.MotorenWerke(BMW)St.[+];NA;NA
RWE.DE;Rewe;;Rewe;BEI.DE;Beiersdorf;NA;NA
SAP.DE;SAP;;SAP;BHP.DE;BHPBilliton;NA;NA
SDF.DE;K+SAG;;K+SAG;GBF.DE;BilfingerBerger;NA;NA
SIE.DE;SiemensAG;;SiemensAG;BNPH.DE;BNPParibas[+];NA;NA
TKA.DE;Thyssenkrupp;;Thyssenkrupp;BYG.DE;Bouygues;NA;NA
VOW3.DE;Volkswagen;;Volkswagen;UCM.F;BuzziUnicem;NA;NA
VOW.DE;Volkswagen;;Volkswagen;3425733.F;Caixabank;NA;NA
NA;NA;NA;NA;CAR.DE;Carrefour;NA;NA
NA;NA;NA;NA;CLS1.DE;Celesio;NA;NA
NA;NA;NA;NA;CIS.DE;CiscoSystems[+];NA;NA
NA;NA;NA;NA;CCC3.DE;Coca-Cola;NA;NA
NA;NA;NA;NA;CPA.DE;Colgate-PalmoliveCo.[+];NA;NA
NA;NA;NA;NA;CBK.DE;Commerzbank;NA;NA
NA;NA;NA;NA;CON.DE;Continental;NA;NA
NA;NA;NA;NA;DAI.DE;DaimlerAG;NA;NA
NA;NA;NA;NA;BSN.DE;Danone[+];NA;NA
NA;NA;NA;NA;DLN.F;De'Longhi;NA;NA
NA;NA;NA;NA;DBK.DE;DeutscheBank;NA;NA
NA;NA;NA;NA;DB1.DE;DeutscheBörse;NA;NA
NA;NA;NA;NA;DPW.DE;DeutschePost;NA;NA
NA;NA;NA;NA;DTE.DE;DeutscheTelekom;NA;NA
NA;NA;NA;NA;DWNI.De;DeutscheWohnen;NA;NA
NA;NA;NA;NA;EOAA.DE;E.ON;NA;NA
NA;NA;NA;NA;E2F.F;EDF;NA;NA
NA;NA;NA;NA;EG4.F;Enagás;NA;NA
NA;NA;NA;NA;ENLA.De;ENEL;NA;NA
NA;NA;NA;NA;ENI1.De;ENI;NA;NA
NA;NA;NA;NA;EBO.DE;ErsteBank;NA;NA
NA;NA;NA;NA;ESL.F;Essilor[+];NA;NA
NA;NA;NA;NA;XONA.De;ExxonMobil;NA;NA
NA;NA;NA;NA;FB2A.De;FacebookInc.;NA;NA
NA;NA;NA;NA;FCC.DE;FCC;NA;NA
NA;NA;NA;NA;FIAT.De;FiatChryslerAutomobiles;NA;NA
NA;NA;NA;NA;FIE.DE;Fielmann;NA;NA
NA;NA;NA;NA;FRA.DE;Fraport;NA;NA
NA;NA;NA;NA;FRE.DE;FreseniusMedicalCare;NA;NA
NA;NA;NA;NA;GFJ.DE;GagfahS.A.;NA;NA
NA;NA;NA;NA;GAN.DE;GasNatural;NA;NA
NA;NA;NA;NA;GZF.DE;GDFSuez;NA;NA
NA;NA;NA;NA;GEC.DE;GeneralElectric;NA;NA
NA;NA;NA;NA;ASG.F;GeneraliAss[+];NA;NA
NA;NA;NA;NA;GHH.DE;Geox;NA;NA
NA;NA;NA;NA;GS7.DE;GlaxoSmithKline[+];NA;NA
NA;NA;NA;NA;GGQ1.De;GoogleInc.A;NA;NA
NA;NA;NA;NA;OZT.F;Grifols;NA;NA
NA;NA;NA;NA;HHFA.De;HamburgerHafenundLogistik;NA;NA
NA;NA;NA;NA;HNR1.De;HannoverRück.;NA;NA
NA;NA;NA;NA;HEI.DE;HeidelbergCement;NA;NA
NA;NA;NA;NA;HEN3.De;HenkelVz.[+];NA;NA
NA;NA;NA;NA;HWP.DE;Hewlett-Packard[+];NA;NA
NA;NA;NA;NA;BOSS.De;HugoBoss;NA;NA
NA;NA;NA;NA;IBE1.De;Iberdrola;NA;NA
NA;NA;NA;NA;IBM.DE;IBM[+];NA;NA
NA;NA;NA;NA;MRT.F;IndesitCompany;NA;NA
NA;NA;NA;NA;IXD1.F;Inditex;NA;NA
NA;NA;NA;NA;IFX.DE;InfineonTechnologies;NA;NA
NA;NA;NA;NA;INL.DE;Intel[+];NA;NA
NA;NA;NA;NA;IES.DE;IntesaSanpaolo[+];NA;NA
NA;NA;NA;NA;SDF.DE;K+S;NA;NA
NA;NA;NA;NA;KU2.DE;KUKA;NA;NA
NA;NA;NA;NA;CIL.DE;Lafarge[+];NA;NA
NA;NA;NA;NA;LXS.DE;Lanxess;NA;NA
NA;NA;NA;NA;LIN.DE;Linde;NA;NA
NA;NA;NA;NA;LOR.DE;L'Oréal[+];NA;NA
NA;NA;NA;NA;LHA.De;Lufthansav.N.A.;NA;NA
NA;NA;NA;NA;MOH.DE;LVMHMoët.Henn.L.Vuitton;NA;NA
NA;NA;NA;NA;MAN.DE;MANSESt.;NA;NA
NA;NA;NA;NA;MDO.DE;McDonald's;NA;NA
NA;NA;NA;NA;MDS.DE;MediasetS.p.A.;NA;NA
NA;NA;NA;NA;MRK.DE;Merck;NA;NA
NA;NA;NA;NA;MEO.DE;Metro;NA;NA
NA;NA;NA;NA;MCH.DE;Michelin;NA;NA
NA;NA;NA;NA;MSF.DE;Microsoft;NA;NA
NA;NA;NA;NA;MLP.DE;MLP;NA;NA
NA;NA;NA;NA;MOV.F;Moncler;NA;NA
NA;NA;NA;NA;MTX.DE;MTUAeroEngines;NA;NA
NA;NA;NA;NA;MUV2.F;MünchenerRück[+];NA;NA
NA;NA;NA;NA;NESR.De;NestléS.A.;NA;NA
NA;NA;NA;NA;NKE.DE;NikeInc.CIB[+];NA;NA
NA;NA;NA;NA;NOAA.De;Nokia[+];NA;NA
NA;NA;NA;NA;NDX1.De;Nordex;NA;NA
NA;NA;NA;NA;NOTA.De;Novartis[+];NA;NA
NA;NA;NA;NA;OMV.DE;OMV;NA;NA
NA;NA;NA;NA;FTE.DE;Orange;NA;NA
NA;NA;NA;NA;OSR.DE;OsramLicht;NA;NA
NA;NA;NA;NA;MAT1.F;PanasonicCorp.;NA;NA
NA;NA;NA;NA;PFE.DE;Pfizer;NA;NA
NA;NA;NA;NA;PHI1.De;PhilipsElectr.[+];NA;NA
NA;NA;NA;NA;PIL2.De;Pirelli&C;NA;NA
NA;NA;NA;NA;PAH3.De;PorscheAutomobilHoldingVZO;NA;NA
NA;NA;NA;NA;PRG.F;Procter&Gamble;NA;NA
NA;NA;NA;NA;PSM.DE;ProSiebenSat.1Media;NA;NA
NA;NA;NA;NA;AEU.F;Prysmian;NA;NA
NA;NA;NA;NA;RNL.DE;Renault;NA;NA
NA;NA;NA;NA;REJ.F;ReplyS.p.A.;NA;NA
NA;NA;NA;NA;REP.DE;RepsolYPF;NA;NA
NA;NA;NA;NA;RHKJF;Rhön-Klinikum;NA;NA
NA;NA;NA;NA;RIOA.De;RioTinto;NA;NA
NA;NA;NA;NA;R6C.DE;RoyalDutchShell;NA;NA
NA;NA;NA;NA;RWE.DE;RWE;NA;NA
NA;NA;NA;NA;VHM.F;Sacyr;NA;NA
NA;NA;NA;NA;GOB.F;Saint-Gobain;NA;NA
NA;NA;NA;NA;SFER.Mi;SalvatoreFerragamo;NA;NA
NA;NA;NA;NA;SZG.DE;Salzgitter;NA;NA
NA;NA;NA;NA;SNW.DE;Sanofi-Aventis[+];NA;NA
NA;NA;NA;NA;SAP.DE;SAP[+];NA;NA
NA;NA;NA;NA;SND.DE;SchneiderElectric[+];NA;NA
NA;NA;NA;NA;SES.F;SESGlobal;NA;NA
NA;NA;NA;NA;SIE.DE;SiemensNA;NA;NA
NA;NA;NA;NA;SIX2.F;Sixt;NA;NA
NA;NA;NA;NA;SNM.F;SnamReteGas;NA;NA
NA;NA;NA;NA;SOW.DE;SoftwareAG;NA;NA
NA;NA;NA;NA;SONA.De;Sony[+];NA;NA
NA;NA;NA;NA;SAZ.DE;STADAArzneimittel;NA;NA
NA;NA;NA;NA;SRB.DE;StarbucksCorp.;NA;NA
NA;NA;NA;NA;SZU.DE;Südzucker;NA;NA
NA;NA;NA;NA;O2D.F;Telefónica[+];NA;NA
NA;NA;NA;NA;TA1.DE;TelekomAustria;NA;NA
NA;NA;NA;NA;TKA.DE;ThyssenKrupp;NA;NA
NA;NA;NA;NA;TOTA.De;TOTAL;NA;NA
NA;NA;NA;NA;TOM.DE;Toyota;NA;NA
NA;NA;NA;NA;TUI1.De;TUI;NA;NA
NA;NA;NA;NA;BPD.F;UbiBanca;NA;NA
NA;NA;NA;NA;UEN.F;UbisoftEntertain;NA;NA
NA;NA;NA;NA;UBRA.De;UBS;NA;NA
NA;NA;NA;NA;CRIH.De;UniCreditS.p.A.;NA;NA
NA;NA;NA;NA;UNIN.De;Unilever;NA;NA
NA;NA;NA;NA;UTDI.De;UnitedInternet;NA;NA
NA;NA;NA;NA;VVD.DE;VeoliaEnvironnement;NA;NA
NA;NA;NA;NA;SQU.F;VinciS.A.;NA;NA
NA;NA;NA;NA;VVU.DE;VivendiS.A.[+];NA;NA
NA;NA;NA;NA;VODI.De;Vodafone;NA;NA
NA;NA;NA;NA;VAS.DE;voestalpine;NA;NA
NA;NA;NA;NA;VOW.DE;VolkswagenVz.[+];NA;NA
NA;NA;NA;NA;WCH.DE;WackerChemie;NA;NA
NA;NA;NA;NA;WDP.DE;WaltDisney;NA;NA
NA;NA;NA;NA;WIN.DE;WincorNixdorf;NA;NA
NA;NA;NA;NA;WDI.DE;Wirecard;NA;NA
NA;NA;NA;NA;ACOA.F;AtlasCopcoA[+];NA;NA
NA;NA;NA;NA;ELX.F;Electrolux,ABser.B;NA;NA
NA;NA;NA;NA;ERCB.De;EricssonB;NA;NA
NA;NA;NA;NA;HMSB.De;Hennes&Mauritz[+];NA;NA
NA;NA;NA;NA;MO7.F;ModernTimesGroupB;NA;NA
NA;NA;NA;NA;FRYA.F;Swedbank;NA;NA
NA;NA;NA;NA;VOL1.F;Volvo;NA;NA
NA;NA;NA;NA;NA;3,25%Bundesrep.Deutschland11/21;NA;NA
NA;NA;NA;NA;NA;3,5%Volkswagen09/15;NA;NA
NA;NA;NA;NA;NA;4,125EIBEurop.Invest.Bank07/24;NA;NA
NA;NA;NA;NA;NA;DekaFondsTF;NA;NA
NA;NA;NA;NA;NA;Deka-Liquidität:EUROTF;NA;NA
NA;NA;NA;NA;NA;Deka-UmweltInvestTF;NA;NA
NA;NA;NA;NA;NA;AriDekaTF;NA;NA
NA;NA;NA;NA;NA;Deka-DeutschlandBalanceTF;NA;NA
NA;NA;NA;NA;NA;Deka-GlobalChampionsTF;NA;NA
NA;NA;NA;NA;NA;Amazon.comBonus-Zertifikat(CIT);NA;NA
NA;NA;NA;NA;NA;BASFDiscount-Zertifikat(HSBC);NA;NA
NA;NA;NA;NA;NA;BovespaIndex-Zertifikat(DBK);NA;NA
NA;NA;NA;NA;NA;BrentCrudQuanto-Zertifikat(ABN);NA;NA
NA;NA;NA;NA;NA;DAXIndex-Zertifikat(DBK);NA;NA
NA;NA;NA;NA;NA;DAXReverse-Index-Zertifikat(DZ);NA;NA
NA;NA;NA;NA;NA;EuroStoxx50(DBC);NA;NA
NA;NA;NA;NA;NA;GoldQuanto-Zertifikat(ABN);NA;NA
NA;NA;NA;NA;NA;KupferPartizip.-Zertifikat(RBS);NA;NA
NA;NA;NA;NA;NA;MDAXIndex-Zertifikat(BLB);NA;NA
NA;NA;NA;NA;NA;NASDAQ100Index-Zertifikat(DBK);NA;NA
NA;NA;NA;NA;NA;NickelIndex-Zertifikat(RBS);NA;NA
NA;NA;NA;NA;NA;PalladiumQuanto-Zertifikat(ABN);NA;NA
NA;NA;NA;NA;NA;RareMetalsIndex-Zertifikat(RBS);NA;NA
NA;NA;NA;NA;NA;S&P500Index-Zertifikat(COM);NA;NA
NA;NA;NA;NA;NA;SilberQuanto-Zertifikat(ABN);NA;NA
NA;NA;NA;NA;NA;Südeur.-IndexBasket-Zertifikat(DB);NA;NA
NA;NA;NA;NA;NA;TECDAXIndex-Zertifikat(DBK);NA;NA
NA;NA;NA;NA;NA;WorldAlternativeEnergyIndex(SGE);NA;NA
NA;NA;NA;NA;NA;WorldUranium-Partizip-Zertifikat(SOG);NA;NA
NA;NA;NA;NA;NA;WorldWaterIndex-Zertifkat(SGE);NA;NA
NA;NA;NA;NA;NA;ZuckerPartizip.-Zertifikat(RBS);NA;NA
